SUPL,PLANT,S.DOCK,COMP,PLANT,DOCK,Production Routing,PART #,T/C FROM(UNL),T/C TO (UNL),PART DESC,Life Cycle Code,Team Member,Model Name,ORD Method,BvsC REF,KBN,QTY /CONT,V.SHARE FLG[SYS L/O DATE BASIS],V.SHARE VALUE,PC DELIV,PC SAFETY,LS DELIV,LS SAFTY,Safety(PCS),Packaging Type,Part PCS Weight(g),PACK QTY/CONT,Latest Physical Inventory DTE & Time,Create User,Create Date Time,Update User,Update Date Time,V.SHARE GROUP
5567,1,   ,807D,4,43,      ,72991VT070C0,20260605,20260630,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,626F,4, ,,0,29,15,42,0,TP363             ,0,4,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT070C0,20260701,20260731,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,626F,4, ,,0,29,15,42,1,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT070C0,20260801,20260831,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,626F,4, ,,0,29,15,28,1,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT070C0,20260901,99991231,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,626F,4, ,,0,30,15,30,1,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT010C0,20260501,20260531,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,627F,12, ,,0,29,15,42,5,TP342             ,0,12,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT010C0,20260601,20260604,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,627F,12, ,,0,29,15,42,12,TP342             ,0,12,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT010C0,20260605,20260630,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,627F,12, ,,0,29,15,42,2,TP342             ,0,12,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT010C0,20260701,20260731,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,627F,12, ,,0,29,15,42,3,TP342             ,0,12,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT010C0,20260801,20260831,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,627F,12, ,,0,29,15,28,1,TP342             ,0,12,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT010C0,20260901,99991231,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,627F,12, ,,0,30,15,30,1,TP342             ,0,12,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5941,1,   ,807D,4,43,      ,849700K56000,20260701,20260731,SWITCH ASSY  COMBINATION,0,,824W 867B,1,0,5679,70, ,,0,32,7,42,0,TP331             ,22,70,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5941,1,   ,807D,4,43,      ,849700K56000,20260801,20260831,SWITCH ASSY  COMBINATION,0,,824W 867B,1,0,5679,70, ,,0,32,7,28,0,TP331             ,22,70,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5941,1,   ,807D,4,43,      ,849700K56000,20260901,99991231,SWITCH ASSY  COMBINATION,0,,824W 867B,1,0,5679,70, ,,0,34,7,30,0,TP331             ,22,70,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5941,1,   ,807D,4,43,      ,849880K06000,20260501,20260531,SWITCH  TRACTION CONTROL,0,,579W,1,0,980C,70, ,,0,32,7,42,4,TP331             ,14,70,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5941,1,   ,807D,4,43,      ,849880K06000,20260601,20260604,SWITCH  TRACTION CONTROL,0,,579W,1,0,980C,70, ,,0,32,7,42,9,TP331             ,14,70,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5941,1,   ,807D,4,43,      ,849880K06000,20260605,20260731,SWITCH  TRACTION CONTROL,0,,579W,1,0,980C,70, ,,0,32,7,42,1,TP331             ,14,70,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5941,1,   ,807D,4,43,      ,849880K06000,20260801,20260831,SWITCH  TRACTION CONTROL,0,,579W,1,0,980C,70, ,,0,32,7,28,70,TP331             ,14,70,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5941,1,   ,807D,4,43,      ,849880K06000,20260901,99991231,SWITCH  TRACTION CONTROL,0,,579W,1,0,980C,70, ,,0,34,7,30,70,TP331             ,14,70,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT04000,20260901,99991231,SPRING  COIL  RR,0,,874W,1,0,630F,3, ,,0,0,38,30,2,TP342             ,3060,3,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT020C0,20260501,20260531,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,628F,12, ,,0,29,15,42,5,TP342             ,0,12,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT020C0,20260601,20260604,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,628F,12, ,,0,29,15,42,12,TP342             ,0,12,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT020C0,20260605,20260630,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,628F,12, ,,0,29,15,42,2,TP342             ,0,12,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT020C0,20260701,20260731,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,628F,12, ,,0,29,15,42,3,TP342             ,0,12,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT020C0,20260801,20260831,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,628F,12, ,,0,29,15,28,1,TP342             ,0,12,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,79937VT020C0,20260901,99991231,COVER  RR SEAT LEG  NO.2,0,,874W,1,0,628F,12, ,,0,30,15,30,1,TP342             ,0,12,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT03000,20260501,20260531,SPRING  COIL  RR,0,,874W,1,0,629F,3, ,,0,0,38,42,3,TP342             ,3060,3,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT03000,20260601,20260604,SPRING  COIL  RR,0,,874W,1,0,629F,3, ,,0,0,38,42,7,TP342             ,3060,3,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT03000,20260605,20260630,SPRING  COIL  RR,0,,874W,1,0,629F,3, ,,0,0,38,42,1,TP342             ,3060,3,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT03000,20260701,20260731,SPRING  COIL  RR,0,,874W,1,0,629F,3, ,,0,0,37,42,1,TP342             ,3060,3,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT03000,20260801,20260831,SPRING  COIL  RR,0,,874W,1,0,629F,3, ,,0,0,33,28,1,TP342             ,3060,3,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT03000,20260901,99991231,SPRING  COIL  RR,0,,874W,1,0,629F,3, ,,0,0,38,30,1,TP342             ,3060,3,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT04000,20260501,20260531,SPRING  COIL  RR,0,,874W,1,0,630F,3, ,,0,0,38,42,6,TP342             ,3060,3,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT04000,20260601,20260604,SPRING  COIL  RR,0,,874W,1,0,630F,3, ,,0,0,38,42,17,TP342             ,3060,3,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT04000,20260605,20260630,SPRING  COIL  RR,0,,874W,1,0,630F,3, ,,0,0,38,42,2,TP342             ,3060,3,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT04000,20260701,20260731,SPRING  COIL  RR,0,,874W,1,0,630F,3, ,,0,0,37,42,4,TP342             ,3060,3,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5568,1,   ,807D,4,43,      ,48231VT04000,20260801,20260831,SPRING  COIL  RR,0,,874W,1,0,630F,3, ,,0,0,33,28,2,TP342             ,3060,3,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT01000,20260601,20260604,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,616F,20, ,,0,19,26,42,7,TP3102            ,155,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT01000,20260605,20260731,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,616F,20, ,,0,19,26,42,1,TP3102            ,155,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT01000,20260801,20260831,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,616F,20, ,,0,19,26,28,1,TP3102            ,155,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
